time,stock,atm_diff
10:24,IDFCFIRSTB,
10:24,IEX,
10:24,IIFL,
10:24,INDHOTEL,
10:24,INDIANB,
10:24,INDIGO,
10:24,INDUSINDBK,
10:24,INDUSTOWER,
10:24,INFY,
10:24,INOXWIND,
10:24,IOC,
10:24,IRCTC,
10:24,IREDA,
10:24,IRFC,
10:24,ITC,
10:24,JINDALSTEL,
10:24,JIOFIN,
10:24,JSWENERGY,
10:24,JSWSTEEL,
10:24,JUBLFOOD,
10:24,KALYANKJIL,
10:24,KAYNES,
10:24,KEI,
10:24,KFINTECH,
10:24,KOTAKBANK,
10:24,KPITTECH,
10:24,LAURUSLABS,
10:24,LICHSGFIN,
10:24,LICI,
10:24,LODHA,
10:24,LT,
10:24,LTF,
10:24,LTIM,
10:24,LUPIN,
10:24,M&M,
10:24,MANAPPURAM,
10:24,MANKIND,
10:24,MARICO,
10:24,MARUTI,
10:24,MAXHEALTH,
10:24,MAZDOCK,
10:24,MCX,
10:24,MFSL,
10:24,MOTHERSON,
10:24,MPHASIS,
10:24,MUTHOOTFIN,
10:24,NATIONALUM,
10:24,NAUKRI,
10:24,NBCC,
10:24,NESTLEIND,
10:24,NHPC,
10:24,NMDC,
10:24,NTPC,
10:24,NUVAMA,
10:24,NYKAA,
10:24,OBEROIRLTY,
10:24,OFSS,
10:24,OIL,
10:24,ONGC,
10:24,PAGEIND,
10:24,PATANJALI,
10:24,PAYTM,
10:24,PERSISTENT,
10:24,PETRONET,
10:24,PFC,
10:24,PGEL,
10:24,PHOENIXLTD,
10:24,PIDILITIND,
10:24,PIIND,
10:24,PNB,
10:24,PNBHOUSING,
10:24,POLICYBZR,
10:24,POLYCAB,
10:24,POWERGRID,
10:24,POWERINDIA,
10:24,PPLPHARMA,
10:24,PREMIERENE,
10:24,PRESTIGE,
10:24,RBLBANK,
10:24,RECLTD,
10:24,RELIANCE,
10:24,RVNL,
10:24,SAIL,
10:24,SAMMAANCAP,
10:24,SBICARD,
10:24,SBILIFE,
10:24,SBIN,
10:24,SHREECEM,
10:24,SHRIRAMFIN,
10:24,SIEMENS,
10:24,SOLARINDS,
10:24,SONACOMS,
10:24,SRF,
10:24,SUNPHARMA,
10:24,SUPREMEIND,
10:24,SUZLON,
10:24,SWIGGY,
10:24,SYNGENE,
10:24,TATACONSUM,
10:24,TATAELXSI,
10:24,TATAPOWER,
10:24,TATASTEEL,
10:24,TATATECH,
10:24,TCS,
10:24,TECHM,
10:24,TIINDIA,
10:24,TITAN,
10:24,TORNTPHARM,
10:24,TORNTPOWER,
10:24,TRENT,
10:24,TVSMOTOR,
10:24,ULTRACEMCO,
10:24,UNIONBANK,
10:24,UNITDSPR,
10:24,UNOMINDA,
